position,title,type,publication_date,eli
1433,Rozporządzenie Ministra Finansów z dnia 27 września 2024 r. zmieniające rozporządzenie w sprawie kas rejestrujących mających postać oprogramowania,Rozporządzenie,2024-09-27,DU/2024/1433
1910,"Rozporządzenie Ministra Cyfryzacji z dnia 18 grudnia 2024 r. w sprawie szczegółowych warunków oraz trybu udzielania pomocy de minimis w ramach programu ""Cyfrowa Europa""",Rozporządzenie,2024-12-23,DU/2024/1910
1966,Rozporządzenie Ministra Przemysłu z dnia 27 grudnia 2024 r. zmieniające rozporządzenie w sprawie metod badania jakości paliw ciekłych,Rozporządzenie,2024-12-30,DU/2024/1966
1351,"Rozporządzenie Ministra Rolnictwa i Rozwoju Wsi z dnia 10 września 2024 r. zmieniające rozporządzenie w sprawie szczegółowego przeznaczenia, warunków i trybu udzielania wsparcia na wykonywanie działalności w zakresie przechowywania lub wprowadzania do obrotu produktów rolnych, rybołówstwa lub akwakultury oraz artykułów rolno-spożywczych w ramach Krajowego Planu Odbudowy i Zwiększania Odporności",Rozporządzenie,2024-09-12,DU/2024/1351
1789,Rozporządzenie Rady Ministrów z dnia 2 grudnia 2024 r. zmieniające rozporządzenie w sprawie udzielania pomocy de minimis na organizację przedsięwzięć promocyjnych wspierających eksport,Rozporządzenie,2024-12-05,DU/2024/1789
1809,Rozporządzenie Ministra Zdrowia z dnia 5 grudnia 2024 r. w sprawie zmiany rozporządzenia zmieniającego rozporządzenie w sprawie ogólnych warunków umów o udzielanie świadczeń opieki zdrowotnej,Rozporządzenie,2024-12-09,DU/2024/1809
1825,Rozporządzenie Ministra Klimatu i Środowiska z dnia 5 grudnia 2024 r. w sprawie udzielania pomocy publicznej na projekty inwestycyjne w zakresie wsparcia krajowego systemu energetycznego w ramach Krajowego Planu Odbudowy i Zwiększania Odporności,Rozporządzenie,2024-12-11,DU/2024/1825
1894,Rozporządzenie Ministra Finansów z dnia 18 grudnia 2024 r. zmieniające rozporządzenie w sprawie właściwości organów podatkowych,Rozporządzenie,2024-12-20,DU/2024/1894
1353,Rozporządzenie Ministra Zdrowia z dnia 11 września 2024 r. w sprawie wysokości wynagrodzenia wizytatora oraz koordynatora,Rozporządzenie,2024-09-12,DU/2024/1353
1918,Rozporządzenie Ministra Infrastruktury z dnia 18 grudnia 2024 r. w sprawie wprowadzenia do stosowania wymagań ustanowionych przez Organizację Międzynarodowego Lotnictwa Cywilnego w zakresie procedur lotu,Rozporządzenie,2024-12-23,DU/2024/1918
1403,Rozporządzenie Ministra Nauki z dnia 12 września 2024 r. w sprawie danych przetwarzanych w Zintegrowanym Systemie Informacji o Szkolnictwie Wyższym i Nauce POL-on,Rozporządzenie,2024-09-24,DU/2024/1403
1232,"Rozporządzenie Ministra Rolnictwa i Rozwoju Wsi z dnia 9 sierpnia 2024 r. zmieniające rozporządzenie w sprawie wzorów środków identyfikacji dla bydła, owiec i kóz, świń, jeleniowatych, wielbłądowatych i koniowatych oraz szczegółowej specyfikacji technicznej tych środków",Rozporządzenie,2024-08-13,DU/2024/1232
1519,Rozporządzenie Ministra Rolnictwa i Rozwoju Wsi z dnia 14 października 2024 r. w sprawie stawki podstawowego wsparcia dochodów do celów zrównoważoności za 2024 r.,Rozporządzenie,2024-10-15,DU/2024/1519
